GO_ID	Namespace
GO:0000440	Cellular Component
GO:0000444	Cellular Component
GO:0000445	Cellular Component
GO:0000446	Cellular Component
GO:0000447	Biological Process
GO:0000448	Biological Process
GO:0000449	Biological Process
GO:0000450	Biological Process
GO:0000451	Biological Process
GO:0000452	Biological Process
GO:0000453	Biological Process
GO:0000454	Biological Process
GO:0000455	Biological Process
GO:0000456	Biological Process
GO:0000457	Biological Process
GO:0000458	Biological Process
GO:0000459	Biological Process
GO:0000460	Biological Process
GO:0000461	Biological Process
GO:0000462	Biological Process
GO:0000463	Biological Process
GO:0000464	Biological Process
GO:0000465	Biological Process
GO:0000466	Biological Process
GO:0000467	Biological Process
GO:0000468	Biological Process
GO:0000469	Biological Process
GO:0000470	Biological Process
GO:0000471	Biological Process
GO:0000472	Biological Process
GO:0000473	Biological Process
GO:0000474	Biological Process
GO:0000475	Biological Process
GO:0000476	Biological Process
GO:0000477	Biological Process
GO:0000478	Biological Process
GO:0000479	Biological Process
GO:0000480	Biological Process
GO:0000481	Biological Process
GO:0000482	Biological Process
GO:0000483	Biological Process
GO:0000484	Biological Process
GO:0000485	Biological Process
GO:0000486	Biological Process
GO:0000487	Biological Process
GO:0000488	Biological Process
GO:0000489	Biological Process
GO:0000491	Biological Process
GO:0000492	Biological Process
GO:0000493	Biological Process
GO:0000494	Biological Process
GO:0000495	Biological Process
GO:0000497	Molecular Function
GO:0000500	Cellular Component
GO:0000502	Cellular Component
GO:0000504	Cellular Component
GO:0000506	Cellular Component
GO:0000578	Biological Process
GO:0000700	Molecular Function
GO:0000701	Molecular Function
GO:0000702	Molecular Function
GO:0000703	Molecular Function
GO:0000704	Molecular Function
GO:0000705	Biological Process
GO:0000706	Biological Process
GO:0000707	Biological Process
GO:0000708	Biological Process
GO:0000709	Biological Process
GO:0000710	Biological Process
GO:0000711	Biological Process
GO:0000712	Biological Process
GO:0000713	Biological Process
GO:0000714	Biological Process
GO:0000715	Biological Process
GO:0000716	Biological Process
GO:0000717	Biological Process
GO:0000718	Biological Process
GO:0000719	Biological Process
GO:0000720	Biological Process
GO:0000721	Molecular Function
GO:0000722	Biological Process
GO:0000723	Biological Process
GO:0000724	Biological Process
GO:0000725	Biological Process
GO:0000726	Biological Process
GO:0000727	Biological Process
GO:0000729	Biological Process
GO:0000730	Biological Process
GO:0000731	Biological Process
GO:0000732	Biological Process
GO:0000733	Biological Process
GO:0000735	Biological Process
GO:0000736	Biological Process
